allocatee,allocation
0x828715934c547c8081905b5670f7e75a8643c43c,25
0x05dc9345418a7406725a3f4d70146f0a0c651f90,26
0xff3f5b23420768e724cf14d7620d9a5910005bce,5
0x7a0bc42dc204fca3526067daa7e81e859c9c6129,10
0xce17d719e923c50e27a9a108cb476c5381374ad4,6
0xdd7c910caae5596b1b54c0dea0da1e9348c106ae,4
0x5551779c9b333f9a7b83d9a06dc800e19b80b5de,1
0xfb11bf8316b59fa3cb815705d87fe5f43119ea94,10
0xf608713d46fe539c665f121ea9226d3385789378,3
0x274a434f95cfe49702df41022f2fdb629267f3c8,2
0x4530c72c1c2e8143fa0ddec579ef4020d5543cf2,2
0xb5c86bbda44ece35d2dc8824050a2b217c45a3a4,12
0xcc337d4fd1b1755ee8d8b270ebbb86a1ae908978,1
0xee51d8a0c6812ba39e43be40f72f3cde0e3fb895,2
